Number of Drugs in Set,Simulation Number,values.to.vary,ES,NES,p,pos_at_max,q
25,26,0.5,0.61179,1.6,0.0579,445,1
25,26,0.75,0.82339,2.09,0.00402,190,0.05
25,26,1,0.84873,2.22,0.00207,54,0.00829
25,27,-1,-0.8481,-2.15,0,1168,0.0221
25,27,-0.75,-0.74067,-1.93,0.00984,1075,0.161
25,27,-0.5,-0.69606,-1.8,0.0272,1046,0.312
25,27,-0.25,-0.63121,-1.63,0.0462,1208,0.858
25,27,0,0.30527,0.777,0.698,269,0.859
25,27,0.25,0.40283,1.02,0.402,333,1
25,27,0.5,0.64017,1.61,0.0584,320,0.932
25,27,0.75,0.7708,1.95,0.00368,208,0.16
25,27,1,0.82641,2.1,0,201,0.0403
25,28,-1,-0.8903,-2.16,0,1249,0.0172
25,28,-0.75,-0.72006,-1.82,0.00763,1160,0.331
25,28,-0.5,-0.69624,-1.75,0.0119,1191,0.327
25,28,-0.25,-0.66045,-1.67,0.0249,1149,0.403
25,28,0,0.32928,0.836,0.638,106,1
25,28,0.25,0.46834,1.2,0.263,310,0.853
25,28,0.5,0.63507,1.64,0.044,327,0.46
25,28,0.75,0.76427,1.92,0.00986,121,0.28
25,28,1,0.82489,2.08,0.00193,244,0.0628
25,29,-1,-0.8083,-2.01,0,1120,0.0954
25,29,-0.75,-0.74408,-1.85,0.0167,1168,0.493
25,29,-0.5,-0.74802,-1.89,0.0111,1207,0.339
25,29,-0.25,-0.2792,-0.708,0.803,1013,0.935
25,29,0,0.31679,0.819,0.682,328,0.94
25,29,0.25,0.44674,1.12,0.322,215,0.884
25,29,0.5,0.64468,1.61,0.0436,292,1
25,29,0.75,0.79093,2.03,0,212,0.0914
25,29,1,0.83603,2.09,0.00391,204,0.0574
25,30,-1,-0.87285,-2.22,0,1251,0.00258
25,30,-0.75,-0.77092,-1.97,0.00204,1209,0.162
25,30,-0.5,-0.7372,-1.84,0.0144,1137,0.157
25,30,-0.25,-0.52972,-1.34,0.159,979,0.848
25,30,0,-0.24106,-0.608,0.898,1156,1
25,30,0.25,0.36154,0.93,0.522,66,0.854
25,30,0.5,0.72297,1.76,0.0212,282,0.549
25,30,0.75,0.71324,1.8,0.0142,171,0.766
25,30,1,0.8152,2.03,0,192,0.0847
25,31,-1,-0.87859,-2.2,0,1233,0.0137
25,31,-0.75,-0.81144,-2.06,0,1138,0.0689
25,31,-0.5,-0.6443,-1.66,0.0397,1110,0.462
25,31,-0.25,-0.30538,-0.787,0.707,1259,0.894
25,31,0,-0.30559,-0.792,0.729,1143,0.853
25,31,0.25,0.3408,0.862,0.613,351,0.957
25,31,0.5,0.54609,1.4,0.134,245,0.981
25,31,0.75,0.74714,1.93,0.00556,335,0.248
25,31,1,0.76646,1.94,0.00349,297,0.232
25,32,-1,-0.86912,-2.14,0,1253,0.0183
25,32,-0.75,-0.75172,-1.93,0.00193,1181,0.231
25,32,-0.5,-0.67965,-1.72,0.035,1097,0.386
25,32,-0.25,-0.53958,-1.37,0.134,1110,0.799
25,32,0,0.20229,0.515,0.963,285,0.973
25,32,0.25,0.43788,1.11,0.33,92,0.862
25,32,0.5,0.79034,2.02,0,153,0.123
25,32,0.75,0.76016,2.01,0,261,0.125
25,32,1,0.81078,2.02,0,224,0.111
25,33,-1,-0.88234,-2.21,0,1233,0.00713
25,33,-0.75,-0.7333,-1.81,0.00418,1107,0.627
25,33,-0.5,-0.69004,-1.77,0.0283,1147,0.883
25,33,-0.25,-0.51094,-1.31,0.175,1123,0.782
25,33,0,-0.47818,-1.21,0.244,1153,0.763
25,33,0.25,0.64833,1.64,0.0298,219,0.407
25,33,0.5,0.70891,1.75,0.0219,86,0.342
25,33,0.75,0.7917,1.99,0.00549,133,0.072
25,33,1,0.82773,2.04,0,82,0.0546
25,34,-1,-0.94441,-2.32,0,1260,0
25,34,-0.75,-0.74596,-1.82,0.00947,1110,0.545
25,34,-0.5,-0.64101,-1.58,0.0692,1080,1
25,34,-0.25,-0.61502,-1.55,0.0627,1039,1
25,34,0,0.27551,0.688,0.819,392,0.942
25,34,0.25,0.57854,1.44,0.109,239,0.62
25,34,0.5,0.61745,1.57,0.073,369,0.475
25,34,0.75,0.76644,1.93,0,260,0.257
25,34,1,0.86502,2.13,0,53,0.0242
25,35,-1,-0.83928,-2.09,0,1218,0.0436
25,35,-0.75,-0.82444,-2.05,0,1203,0.0888
25,35,-0.5,-0.71381,-1.8,0.0156,1185,0.796
25,35,-0.25,-0.54561,-1.41,0.137,1204,1
25,35,0,0.26722,0.675,0.845,560,0.989
25,35,0.25,0.33305,0.854,0.62,289,0.875
25,35,0.5,0.64237,1.59,0.0674,357,0.564
25,35,0.75,0.73014,1.81,0.0169,299,0.584
25,35,1,0.79234,1.97,0.00714,197,0.144
25,36,-1,-0.85655,-2.18,0,1256,0.0224
25,36,-0.75,-0.74117,-1.88,0.00756,1140,0.472
25,36,-0.5,-0.69485,-1.78,0.0232,1027,0.32
25,36,-0.25,-0.54387,-1.4,0.133,1234,0.808
25,36,0,-0.24124,-0.612,0.914,1136,0.925
25,36,0.25,0.47995,1.24,0.219,329,0.998
25,36,0.5,0.71135,1.79,0.0147,136,0.688
25,36,0.75,0.76587,2,0,233,0.109
25,36,1,0.81456,2.05,0.002,112,0.0761
25,37,-1,-0.84997,-2.1,0.00197,1212,0.019
25,37,-0.75,-0.86955,-2.15,0,1171,0.0138
25,37,-0.5,-0.69928,-1.79,0.019,1213,0.238
25,37,-0.25,-0.46844,-1.22,0.229,1102,0.626
25,37,0,0.22643,0.57,0.942,34,0.983
25,37,0.25,0.55496,1.4,0.12,285,1
25,37,0.5,0.53979,1.38,0.14,281,1
25,37,0.75,0.70784,1.8,0.0217,266,0.819
25,37,1,0.78748,1.96,0,140,0.197
25,38,-1,-0.84124,-2.13,0,1186,0.0275
25,38,-0.75,-0.82123,-2.1,0,1242,0.0452
25,38,-0.5,-0.69474,-1.73,0.0378,996,0.633
25,38,-0.25,-0.43062,-1.08,0.338,1245,1
25,38,0,0.35908,0.893,0.578,200,1
25,38,0.25,0.54792,1.39,0.145,198,1
25,38,0.5,0.6629,1.71,0.0341,212,0.428
25,38,0.75,0.7559,1.94,0.00806,111,0.113
25,38,1,0.75146,1.95,0.00607,132,0.219
25,39,-1,-0.84625,-2.1,0,1263,0.0292
25,39,-0.75,-0.69991,-1.76,0.0248,1111,0.987
25,39,-0.5,-0.52414,-1.34,0.159,1059,0.604
25,39,-0.25,-0.4989,-1.27,0.209,1051,0.62
25,39,0,-0.27803,-0.701,0.824,1288,1
25,39,0.25,0.40277,1.03,0.403,364,0.852
25,39,0.5,0.61606,1.55,0.0603,260,0.894
25,39,0.75,0.75309,1.91,0.0166,182,0.245
25,39,1,0.82055,2.04,0,105,0.0502
25,40,-1,-0.89653,-2.27,0,1211,0.00107
25,40,-0.75,-0.77897,-2,0.00385,1234,0.0643
25,40,-0.5,-0.62461,-1.56,0.067,1165,0.988
25,40,-0.25,-0.51942,-1.31,0.163,1050,0.909
25,40,0,0.26622,0.682,0.832,392,1
25,40,0.25,0.31386,0.808,0.646,358,1
25,40,0.5,0.60971,1.55,0.0697,253,0.42
25,40,0.75,0.76124,1.93,0.00992,318,0.22
25,40,1,0.83113,2.12,0,196,0.0285
25,41,-1,-0.81072,-2.05,0,1196,0.0673
25,41,-0.75,-0.74829,-1.85,0.00994,1008,0.209
25,41,-0.5,-0.64165,-1.65,0.0382,1087,0.211
25,41,-0.25,-0.47519,-1.23,0.231,1018,0.756
25,41,0,-0.27449,-0.697,0.836,1033,1
25,41,0.25,0.35973,0.913,0.547,307,0.815
25,41,0.5,0.51041,1.27,0.202,302,0.777
25,41,0.75,0.76897,1.93,0,207,0.138
25,41,1,0.89764,2.21,0,113,0.00475
25,42,-1,-0.87853,-2.14,0,1206,0.0104
25,42,-0.75,-0.80935,-2.03,0,1231,0.0573
25,42,-0.5,-0.62514,-1.54,0.0652,926,0.632
25,42,-0.25,-0.5134,-1.3,0.182,1154,0.859
25,42,0,0.30658,0.77,0.737,60,0.976
25,42,0.25,0.40423,1.03,0.391,331,1
25,42,0.5,0.71923,1.84,0.0146,163,0.605
25,42,0.75,0.73005,1.85,0.0111,176,0.501
25,42,1,0.88978,2.23,0,89,0.00625
25,43,-1,-0.86224,-2.21,0,1212,0.0125
25,43,-0.75,-0.67576,-1.77,0.00612,1063,0.523
25,43,-0.5,-0.70176,-1.81,0.0103,1191,0.428
25,43,-0.25,-0.46018,-1.19,0.287,1081,1
25,43,0,-0.35605,-0.92,0.534,1187,1
25,43,0.25,0.62914,1.6,0.0574,215,1
25,43,0.5,0.49558,1.28,0.192,354,0.984
25,43,0.75,0.74421,1.92,0.00713,204,0.263
25,43,1,0.79709,2.05,0,178,0.0761
25,44,-1,-0.87475,-2.2,0,1247,0.0101
25,44,-0.75,-0.75993,-1.91,0.00183,1160,0.353
25,44,-0.5,-0.6423,-1.68,0.0439,927,0.537
25,44,-0.25,-0.59008,-1.51,0.0726,1059,0.456
25,44,0,-0.4145,-1.07,0.341,1019,0.841
25,44,0.25,0.31057,0.808,0.675,402,1
25,44,0.5,0.60457,1.55,0.0815,192,0.442
25,44,0.75,0.72779,1.87,0.00973,179,0.444
25,44,1,0.85996,2.17,0,146,0.0138
25,45,-1,-0.75798,-1.96,0.00581,1096,0.166
25,45,-0.75,-0.79418,-2.02,0,1235,0.0923
25,45,-0.5,-0.68515,-1.76,0.0196,1022,0.844
25,45,-0.25,-0.50245,-1.3,0.175,926,0.482
25,45,0,0.3087,0.807,0.682,387,1
25,45,0.25,0.44106,1.14,0.309,226,0.955
25,45,0.5,0.58651,1.49,0.0858,168,0.624
25,45,0.75,0.7628,1.98,0.0018,144,0.108
25,45,1,0.80409,2.04,0,155,0.0408
25,46,-1,-0.90778,-2.35,0,1228,0.00194
25,46,-0.75,-0.78449,-2.04,0,1199,0.104
25,46,-0.5,-0.67181,-1.71,0.0195,1227,0.628
25,46,-0.25,-0.35719,-0.941,0.502,1149,1
25,46,0,-0.35106,-0.919,0.546,1231,0.97
25,46,0.25,0.26958,0.676,0.813,150,1
25,46,0.5,0.66282,1.71,0.032,268,0.484
25,46,0.75,0.74257,1.92,0.00748,190,0.149
25,46,1,0.83591,2.13,0,147,0.0138
25,47,-1,-0.81306,-2.11,0.00372,1230,0.0397
25,47,-0.75,-0.84254,-2.14,0,1229,0.0221
25,47,-0.5,-0.51423,-1.33,0.165,1158,0.726
25,47,-0.25,-0.5162,-1.36,0.169,1047,0.888
25,47,0,-0.1887,-0.48,0.987,1050,0.985
25,47,0.25,0.43784,1.14,0.309,254,0.966
25,47,0.5,0.54964,1.45,0.105,251,0.662
25,47,0.75,0.75347,1.91,0.00558,253,0.34
25,47,1,0.82292,2.07,0,160,0.0518
25,48,-1,-0.8385,-2.15,0.00186,1232,0.0209
25,48,-0.75,-0.81274,-2,0,1153,0.118
25,48,-0.5,-0.56791,-1.45,0.125,907,0.48
25,48,-0.25,-0.33138,-0.851,0.624,1214,0.898
25,48,0,-0.27347,-0.692,0.806,1313,1
25,48,0.25,0.36803,0.941,0.512,530,0.909
25,48,0.5,0.76471,1.98,0.00184,188,0.195
25,48,0.75,0.67135,1.73,0.0264,391,0.45
25,48,1,0.81992,2.09,0.002,67,0.0562
25,49,-1,-0.84274,-2.17,0.00196,1198,0.0249
25,49,-0.75,-0.76722,-1.92,0.0061,1128,0.33
25,49,-0.5,-0.60911,-1.55,0.0528,1141,1
25,49,-0.25,-0.56307,-1.47,0.117,1032,1
25,49,0,-0.30226,-0.789,0.685,983,0.908
25,49,0.25,0.31494,0.809,0.667,351,0.826
25,49,0.5,0.61599,1.59,0.051,219,0.478
25,49,0.75,0.77609,1.99,0.00367,227,0.125
25,49,1,0.87382,2.14,0,156,0.0214
25,50,-1,-0.90308,-2.27,0,1283,0.00188
25,50,-0.75,-0.71348,-1.75,0.0226,1197,0.3
25,50,-0.5,-0.68674,-1.76,0.0335,1207,0.476
25,50,-0.25,-0.37858,-0.948,0.471,1226,1
25,50,0,0.33205,0.829,0.666,208,0.986
25,50,0.25,0.48494,1.22,0.204,303,0.889
25,50,0.5,0.58695,1.49,0.0968,252,1
25,50,0.75,0.78089,1.95,0.00596,195,0.232
25,50,1,0.88618,2.24,0,152,0.00319
30,1,-1,-0.84362,-2.18,0,1268,0.0128
30,1,-0.75,-0.81164,-2.07,0.00204,1162,0.0653
30,1,-0.5,-0.62779,-1.62,0.0451,1193,1
30,1,-0.25,-0.45824,-1.17,0.25,945,0.984
30,1,0,0.4212,1.08,0.364,232,0.997
30,1,0.25,0.36677,0.931,0.536,363,0.887
30,1,0.5,0.66438,1.62,0.0325,213,0.824
30,1,0.75,0.73348,1.87,0.0147,223,0.385
30,1,1,0.83803,2.04,0.0018,158,0.0831
30,2,-1,-0.84776,-2.1,0,1258,0.023
30,2,-0.75,-0.75632,-1.92,0.00752,1187,0.252
30,2,-0.5,-0.62096,-1.55,0.0709,1050,1
30,2,-0.25,-0.58963,-1.48,0.0953,896,1
30,2,0,-0.52106,-1.34,0.156,1082,1
30,2,0.25,0.48031,1.23,0.213,417,0.93
30,2,0.5,0.70215,1.77,0.0244,146,0.263
30,2,0.75,0.78861,1.95,0.00794,261,0.18
30,2,1,0.87757,2.2,0,94,0.00458
30,3,-1,-0.88161,-2.25,0,1258,0
30,3,-0.75,-0.67369,-1.7,0.0264,1146,0.554
30,3,-0.5,-0.61234,-1.53,0.06,1218,0.592
30,3,-0.25,-0.51969,-1.28,0.204,1053,0.852
30,3,0,0.24612,0.619,0.89,302,0.982
30,3,0.25,0.53273,1.36,0.141,412,0.809
30,3,0.5,0.69336,1.76,0.0186,147,0.363
30,3,0.75,0.80429,2.01,0.00394,146,0.131
30,3,1,0.86825,2.17,0,171,0.0176
30,4,-1,-0.74386,-1.9,0.00978,1093,0.163
30,4,-0.75,-0.79106,-2,0.00206,1148,0.125
30,4,-0.5,-0.72731,-1.85,0.0145,1102,0.239
30,4,-0.25,-0.35192,-0.911,0.538,933,0.876
30,4,0,0.27986,0.7,0.826,303,1
30,4,0.25,0.5752,1.47,0.102,183,1
30,4,0.5,0.672,1.69,0.0234,280,1
30,4,0.75,0.76696,1.88,0.00528,229,0.349
30,4,1,0.81267,2.02,0.00344,225,0.0793
30,5,-1,-0.82554,-2.11,0,1212,0.0288
30,5,-0.75,-0.76674,-1.95,0,1137,0.11
30,5,-0.5,-0.62568,-1.63,0.0477,929,0.99
30,5,-0.25,-0.39573,-1,0.433,972,1
30,5,0,0.29498,0.753,0.752,233,0.988
30,5,0.25,0.51766,1.29,0.199,452,0.876
30,5,0.5,0.74,1.87,0.00731,237,0.496
30,5,0.75,0.73871,1.83,0.00533,185,0.588
30,5,1,0.78528,1.96,0.00179,88,0.234
30,6,-1,-0.86649,-2.26,0,1192,0.0029
30,6,-0.75,-0.7443,-1.87,0.00931,1104,0.155
30,6,-0.5,-0.67426,-1.75,0.0321,1044,0.262
30,6,-0.25,-0.5146,-1.35,0.157,928,0.625
30,6,0,0.24936,0.646,0.88,171,1
30,6,0.25,0.47566,1.21,0.234,250,0.764
30,6,0.5,0.64214,1.66,0.0551,286,0.49
30,6,0.75,0.73414,1.9,0.00771,268,0.335
30,6,1,0.82979,2.1,0.00183,91,0.0397
30,7,-1,-0.81765,-2.09,0.00196,1112,0.0227
30,7,-0.75,-0.68663,-1.74,0.0256,1040,0.378
30,7,-0.5,-0.68528,-1.72,0.024,1210,0.431
30,7,-0.25,-0.3623,-0.95,0.473,1172,0.877
30,7,0,-0.25876,-0.673,0.852,1211,0.934
30,7,0.25,0.52482,1.33,0.14,120,1
30,7,0.5,0.59002,1.5,0.0878,420,0.742
30,7,0.75,0.75152,1.92,0.00544,182,0.242
30,7,1,0.79836,1.98,0.00368,168,0.131
30,8,-1,-0.82216,-2.02,0,1160,0.0486
30,8,-0.75,-0.80362,-2.02,0,1201,0.0526
30,8,-0.5,-0.61973,-1.56,0.0569,1225,0.954
30,8,-0.25,-0.54318,-1.37,0.142,1204,1
30,8,0,-0.34424,-0.879,0.591,1113,1
30,8,0.25,0.49179,1.22,0.225,388,1
30,8,0.5,0.64525,1.63,0.0358,340,0.694
30,8,0.75,0.79344,1.9,0.0018,147,0.303
30,8,1,0.84526,2.07,0,169,0.0483
30,9,-1,-0.85257,-2.15,0,1219,0.022
30,9,-0.75,-0.79072,-2,0,1076,0.169
30,9,-0.5,-0.6183,-1.59,0.0481,965,1
30,9,-0.25,-0.54987,-1.46,0.0978,1053,1
30,9,0,0.2428,0.609,0.888,495,0.98
30,9,0.25,0.39178,1.03,0.402,185,0.854
30,9,0.5,0.7177,1.83,0.0131,325,0.181
30,9,0.75,0.81758,2.09,0,134,0.0206
30,9,1,0.83363,2.09,0,92,0.026
30,10,-1,-0.85061,-2.2,0.00195,1204,0.00781
30,10,-0.75,-0.79747,-2.07,0.00384,1147,0.0571
30,10,-0.5,-0.71076,-1.83,0.00996,1074,0.555
30,10,-0.25,-0.31338,-0.826,0.646,1075,1
30,10,0,0.46597,1.15,0.292,233,0.917
30,10,0.25,0.29453,0.755,0.728,454,0.99
30,10,0.5,0.51146,1.29,0.186,262,1
30,10,0.75,0.79292,1.96,0.00546,201,0.188
30,10,1,0.84709,2.15,0.00185,194,0.0177
30,11,-1,-0.82141,-2.11,0,1230,0.0296
30,11,-0.75,-0.6694,-1.72,0.0173,1019,1
30,11,-0.5,-0.6668,-1.7,0.0345,1098,1
30,11,-0.25,-0.40205,-1,0.456,858,1
30,11,0,-0.22184,-0.569,0.956,1134,0.945
30,11,0.25,0.45296,1.16,0.287,184,1
30,11,0.5,0.62499,1.62,0.0584,357,0.698
30,11,0.75,0.75617,1.91,0.00564,168,0.286
30,11,1,0.84889,2.13,0,154,0.0413
30,12,-1,-0.87941,-2.22,0,1195,0.0117
30,12,-0.75,-0.73825,-1.94,0.00786,1221,0.132
30,12,-0.5,-0.53824,-1.37,0.132,925,0.517
30,12,-0.25,-0.57036,-1.44,0.122,1154,0.632
30,12,0,-0.32013,-0.815,0.66,1282,0.992
30,12,0.25,0.3175,0.827,0.648,211,0.953
30,12,0.5,0.62837,1.63,0.0341,173,1
30,12,0.75,0.80821,1.99,0,178,0.127
30,12,1,0.85444,2.15,0,142,0.0196
30,13,-1,-0.89078,-2.35,0,1239,0
30,13,-0.75,-0.76845,-2,0.00811,1161,0.158
30,13,-0.5,-0.72047,-1.89,0.0185,1212,0.413
30,13,-0.25,-0.56046,-1.46,0.0976,932,0.808
30,13,0,-0.211,-0.544,0.956,1259,1
30,13,0.25,0.381,0.965,0.499,129,0.837
30,13,0.5,0.69994,1.73,0.0215,159,0.297
30,13,0.75,0.7367,1.85,0.00543,189,0.268
30,13,1,0.83687,2.14,0,106,0.0189
30,14,-1,-0.86454,-2.14,0,1237,0.0125
30,14,-0.75,-0.77882,-1.99,0,1191,0.129
30,14,-0.5,-0.68643,-1.78,0.014,1114,0.942
30,14,-0.25,-0.36922,-0.934,0.535,1062,1
30,14,0,-0.23175,-0.593,0.93,1158,0.967
30,14,0.25,0.39111,1.01,0.411,387,0.796
30,14,0.5,0.72241,1.87,0.012,192,0.421
30,14,0.75,0.73436,1.87,0.00749,192,0.432
30,14,1,0.80571,2.03,0.00187,119,0.0984
30,15,-1,-0.81808,-2.15,0,1149,0.00858
30,15,-0.75,-0.79813,-1.97,0.00172,1156,0.157
30,15,-0.5,-0.68536,-1.74,0.0294,1013,0.977
30,15,-0.25,-0.55994,-1.43,0.111,1057,0.78
30,15,0,0.34089,0.882,0.586,189,0.941
30,15,0.25,0.33187,0.856,0.59,157,1
30,15,0.5,0.63538,1.57,0.0671,236,1
30,15,0.75,0.74822,1.93,0.00936,194,0.32
30,15,1,0.83327,2.09,0.00193,157,0.0504
30,16,-1,-0.82659,-2.1,0,1116,0.0487
30,16,-0.75,-0.71494,-1.84,0.0132,1150,0.579
30,16,-0.5,-0.68895,-1.77,0.0325,1115,0.325
30,16,-0.25,-0.44838,-1.15,0.279,896,0.851
30,16,0,0.35115,0.914,0.549,385,1
30,16,0.25,0.42674,1.1,0.33,364,0.963
30,16,0.5,0.64595,1.64,0.0441,317,0.379
30,16,0.75,0.68829,1.75,0.0196,204,0.328
30,16,1,0.80554,2.08,0.00192,164,0.0491
30,17,-1,-0.79657,-1.98,0.00348,1167,0.123
30,17,-0.75,-0.77366,-1.94,0.00348,1133,0.204
30,17,-0.5,-0.64737,-1.62,0.0392,1157,0.512
30,17,-0.25,-0.55433,-1.37,0.139,1051,0.541
30,17,0,-0.33869,-0.841,0.61,1178,0.954
30,17,0.25,0.59154,1.55,0.0589,124,0.805
30,17,0.5,0.70961,1.79,0.025,229,0.437
30,17,0.75,0.74795,1.89,0.0127,195,0.212
30,17,1,0.85281,2.15,0,115,0.02
30,18,-1,-0.82482,-2.08,0,1238,0.0566
30,18,-0.75,-0.75868,-1.92,0.00871,1087,0.29
30,18,-0.5,-0.71057,-1.82,0.0221,1130,0.335
30,18,-0.25,-0.51939,-1.33,0.163,860,0.828
30,18,0,0.24904,0.654,0.853,207,1
30,18,0.25,0.52618,1.34,0.155,130,1
30,18,0.5,0.63661,1.62,0.0596,94,1
30,18,0.75,0.7673,1.93,0,153,0.135
30,18,1,0.89054,2.28,0,112,0.00401
30,19,-1,-0.81303,-2.08,0.00598,1178,0.0607
30,19,-0.75,-0.71192,-1.79,0.0166,998,0.786
30,19,-0.5,-0.70432,-1.8,0.0228,1173,0.707
30,19,-0.25,-0.62389,-1.62,0.0634,1033,1
30,19,0,0.15695,0.396,0.998,554,0.998
30,19,0.25,0.62986,1.61,0.0655,198,0.784
30,19,0.5,0.59711,1.46,0.0909,133,0.969
30,19,0.75,0.65011,1.66,0.033,365,0.577
30,19,1,0.87612,2.17,0,158,0.00881
30,20,-1,-0.86785,-2.18,0,1239,0.0155
30,20,-0.75,-0.74677,-1.95,0.00951,1124,0.293
30,20,-0.5,-0.61859,-1.61,0.0453,1141,0.847
30,20,-0.25,-0.37677,-0.969,0.469,967,0.978
30,20,0,0.20146,0.528,0.976,137,0.965
30,20,0.25,0.2941,0.791,0.727,296,1
30,20,0.5,0.51567,1.35,0.156,150,0.628
30,20,0.75,0.81408,2.05,0,231,0.08
30,20,1,0.82638,2.07,0,164,0.0849
30,21,-1,-0.8572,-2.09,0.00189,1194,0.0506
30,21,-0.75,-0.78768,-2,0,1091,0.149
30,21,-0.5,-0.47772,-1.19,0.276,987,0.579
30,21,-0.25,-0.5116,-1.36,0.155,1013,0.628
30,21,0,0.30424,0.762,0.744,377,0.922
30,21,0.25,0.49634,1.24,0.229,317,0.92
30,21,0.5,0.67191,1.75,0.0348,342,0.334
30,21,0.75,0.74534,1.85,0.0101,299,0.137
30,21,1,0.83096,2.09,0.0018,171,0.0443
30,22,-1,-0.79579,-2.01,0.00542,1075,0.115
30,22,-0.75,-0.77776,-1.98,0.0058,1087,0.171
30,22,-0.5,-0.72078,-1.87,0.017,1150,0.492
30,22,-0.25,-0.46313,-1.17,0.28,995,0.65
30,22,0,0.2787,0.726,0.801,288,1
30,22,0.25,0.61258,1.6,0.0516,333,1
30,22,0.5,0.50338,1.28,0.2,425,0.903
30,22,0.75,0.75687,1.92,0.0078,172,0.27
30,22,1,0.87557,2.24,0,99,0.007
30,23,-1,-0.82882,-2.11,0.00191,1294,0.03
30,23,-0.75,-0.78832,-1.95,0.00391,1165,0.121
30,23,-0.5,-0.69245,-1.79,0.0143,1180,0.325
30,23,-0.25,-0.39665,-0.994,0.445,992,0.961
30,23,0,0.12296,0.305,1,390,1
30,23,0.25,0.51838,1.29,0.198,240,1
30,23,0.5,0.58216,1.49,0.0979,336,1
30,23,0.75,0.72885,1.82,0.00727,317,0.259
30,23,1,0.7416,1.89,0.013,255,0.266
30,24,-1,-0.81562,-2.11,0.00192,1246,0.0393
30,24,-0.75,-0.78543,-2.01,0,1144,0.142
30,24,-0.5,-0.59799,-1.54,0.0711,1013,0.662
30,24,-0.25,-0.43432,-1.12,0.32,987,1
30,24,0,0.22504,0.585,0.94,62,0.957
30,24,0.25,0.48119,1.24,0.213,298,0.635
30,24,0.5,0.74246,1.88,0.00973,196,0.405
30,24,0.75,0.66956,1.71,0.0373,257,1
30,24,1,0.83565,2.14,0,212,0.0119
30,25,-1,-0.83712,-2.06,0.00353,1225,0.0419
30,25,-0.75,-0.74851,-1.88,0.0169,1171,0.336
30,25,-0.5,-0.70181,-1.73,0.0165,1226,1
30,25,-0.25,-0.46404,-1.18,0.259,1109,0.98
30,25,0,0.21417,0.556,0.952,99,1
30,25,0.25,0.50729,1.32,0.17,218,0.566
30,25,0.5,0.62935,1.58,0.0625,341,0.687
30,25,0.75,0.71555,1.83,0.0157,185,0.592
30,25,1,0.83604,2.08,0.00196,150,0.0372
30,26,-1,-0.86806,-2.17,0,1226,0.011
30,26,-0.75,-0.70795,-1.77,0.015,1079,0.441
30,26,-0.5,-0.71812,-1.76,0.0211,1161,0.287
30,26,-0.25,-0.46318,-1.15,0.284,956,1
30,26,0,0.25645,0.662,0.87,440,0.988
30,26,0.25,0.3275,0.818,0.645,323,1
30,26,0.5,0.58866,1.53,0.0763,340,0.677
30,26,0.75,0.77746,1.96,0.00965,138,0.207
30,26,1,0.81419,2.04,0.00382,136,0.0783
30,27,-1,-0.82374,-2.08,0.00179,1245,0.0431
30,27,-0.75,-0.71484,-1.82,0.00935,1237,0.347
30,27,-0.5,-0.61158,-1.56,0.051,1138,0.679
30,27,-0.25,-0.51253,-1.31,0.189,1092,0.978
30,27,0,0.47503,1.23,0.212,288,0.944
30,27,0.25,0.34172,0.896,0.557,296,0.935
30,27,0.5,0.63775,1.6,0.0656,340,0.514
30,27,0.75,0.77133,1.93,0.0133,213,0.121
30,27,1,0.82487,2.12,0,151,0.0382
30,28,-1,-0.90976,-2.26,0,1220,0.000959
30,28,-0.75,-0.73162,-1.84,0.0105,1192,0.534
30,28,-0.5,-0.67944,-1.7,0.0253,1036,1
30,28,-0.25,-0.38434,-0.965,0.514,1010,1
30,28,0,-0.25038,-0.641,0.895,965,1
30,28,0.25,0.39498,1.03,0.395,372,0.713
30,28,0.5,0.67166,1.71,0.0312,362,0.264
30,28,0.75,0.82622,2.11,0.00199,92,0.0323
30,28,1,0.86643,2.23,0,102,0.00616
30,29,-1,-0.89495,-2.22,0,1274,0.00328
30,29,-0.75,-0.76978,-1.94,0.00864,1078,0.219
30,29,-0.5,-0.59776,-1.5,0.063,987,1
30,29,-0.25,-0.4899,-1.22,0.25,1136,0.842
30,29,0,-0.24315,-0.608,0.903,1230,0.947
30,29,0.25,0.39361,1.04,0.397,286,1
30,29,0.5,0.71363,1.85,0.0124,239,0.52
30,29,0.75,0.82113,2.11,0.00196,115,0.039
30,29,1,0.85813,2.17,0,126,0.0185
30,30,-1,-0.86472,-2.15,0,1208,0.0286
30,30,-0.75,-0.73368,-1.86,0.0173,1141,0.483
30,30,-0.5,-0.6443,-1.62,0.0494,921,0.502
30,30,-0.25,-0.52241,-1.29,0.2,910,1
30,30,0,-0.13948,-0.365,1,956,0.999
30,30,0.25,0.44813,1.11,0.331,335,1
30,30,0.5,0.63623,1.57,0.0476,246,0.834
30,30,0.75,0.78769,1.95,0.00172,158,0.0825
30,30,1,0.84387,2.06,0,101,0.0494
30,31,-1,-0.82765,-2.12,0,1217,0.0453
30,31,-0.75,-0.76645,-2,0.00778,1238,0.172
30,31,-0.5,-0.63584,-1.62,0.052,1277,0.799
30,31,-0.25,-0.48466,-1.29,0.186,1007,0.808
30,31,0,-0.26551,-0.693,0.835,1331,0.905
30,31,0.25,0.42636,1.11,0.34,332,0.722
30,31,0.5,0.62357,1.62,0.0503,349,1
30,31,0.75,0.72191,1.82,0.00753,274,0.304
30,31,1,0.78616,1.98,0,257,0.161
