"","pert_iname","query","moa"
"858","trichostatin-a",0.8655,"HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor"
"859","tyrphostin-AG-1478",1.5192,"EGFR inhibitor"
"860","amsacrine",0.7238,"Topoisomerase inhibitor"
"861","ZK-93426",1.4721,"Benzodiazepine receptor antagonist"
"862","EVP-4593",1.0341,"NFkB pathway inhibitor"
"863","proflavine-hemisulfate",0.6417,"Topical anesthetic"
"864","ENMD-2076",0.734,"Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor"
"865","dianhydrogalactitol",0.8472,"DNA alkylating drug"
"866","dicycloverine",0.7927,"Acetylcholine receptor antagonist"
"867","SB-743921",0.6114,"Kinesin-like spindle protein inhibitor"
"868","BVT-948",-0.8356,"Tyrosine phosphatase inhibitor"
"869","ACDPP",1.2102,"Glutamate receptor antagonist"
"870","lidamidine",0.82,"Adrenergic receptor agonist"
"871","PF-03814735",0.9017,"Aurora kinase inhibitor"
"872","GDC-0152",1.0065,"XIAP inhibitor"
"873","PF-3845",0.9717,"FAAH inhibitor"
"874","golvatinib",0.6459,"VEGFR inhibitor"
"875","sertindole",0.5033,"Dopamine receptor antagonist|Serotonin receptor antagonist"
"876","cisplatin",1.0736,"DNA alkylating agent|DNA synthesis inhibitor"
"877","vinorelbine",0.9646,"Tubulin inhibitor"
"878","atorvastatin",0.6794,"HMGCR inhibitor"
"879","mericitabine",-0.826,"HCV inhibitor"
"880","volasertib",1.0191,"PLK inhibitor"
"881","AZD-8055",-0.6723,"MTOR inhibitor"
"882","SMI-4a",1.3393,"Pim kinase inhibitor"
"883","vatalanib",1.7615,"KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"884","INH1",1.021,"Hec1 inhibitor"
"885","ibrutinib",1.5164,"BTK inhibitor"
"886","aripiprazole",0.9101,"Serotonin receptor agonist|Serotonin receptor antagonist"
"887","erlotinib",1.7069,"EGFR inhibitor"
"888","nexturastat-a",0.8634,"HDAC inhibitor"
"889","BAY-87-2243",0.9383,"Hypoxia inducible factor inhibitor"
"890","ranitidine",-0.8452,"Histamine receptor antagonist"
"891","HMN-214",0.7885,"PLK inhibitor"
"892","BIBX-1382",1.5561,"Tyrosine kinase inhibitor|EGFR inhibitor"
"893","dorzolamide",0.7531,"Carbonic anhydrase inhibitor"
"894","fludarabine-phosphate",-0.85,"DNA synthesis inhibitor|DNA repair enzyme inhibitor|Purine antagonist"
"895","KD-023",0.6479,"ACAT inhibitor"
"896","birinapant",1.103,"XIAP inhibitor"
"897","SNX-2112",0.973,"HSP inhibitor"
"898","KPT-185",-1.2486,"Exportin antagonist"
"899","SNS-314",0.9772,"Aurora kinase inhibitor"
"900","vidarabine",0.5715,"Antiviral"
"901","cefditoren-pivoxil",-0.9845,"Bacterial cell wall synthesis inhibitor"
"902","baicalein",1.3798,"Lipoxygenase inhibitor"
"903","AZD-5438",0.8297,"CDK inhibitor"
"904","WZ-4002",1.682,"EGFR inhibitor"
"905","ZM-447439",0.9562,"Aurora kinase inhibitor"
"906","benzethonium",-1.1525,"Sodium channel blocker"
"907","arcyriaflavin-a",-0.8164,"CDK inhibitor"
"908","xanomeline",0.9269,"Acetylcholine receptor agonist"
"909","CEP-37440",0.9407,"ALK tyrosine kinase receptor inhibitor"
"910","valrubicin",0.4909,"DNA inhibitor|Topoisomerase inhibitor"
"911","floxuridine",0.9896,"DNA synthesis inhibitor"
"912","SNX-5422",1.0315,"HSP inhibitor"
"913","tacalcitol",1.0611,"Vitamin D receptor agonist"
"914","WZ-3146",1.4572,"EGFR inhibitor"
"915","4-methylgenistein",-1.1717,"Protein tyrosine kinase inhibitor"
"916","OSI-420",1.5862,"EGFR inhibitor"
"917","quinisocaine",1.6231,"Local anesthetic"
"918","bekanamycin",1.1943,"Bacterial 30S ribosomal subunit inhibitor"
"919","nizatidine",-1.0853,"Histamine receptor antagonist"
"920","azithromycin",1.103,"Bacterial 50S ribosomal subunit inhibitor"
"921","cinacalcet",0.8009,"Calcium channel activator"
"922","BI-78D3",-1.1189,"JNK inhibitor"
"923","indibulin",0.7381,"Tubulin inhibitor"
"924","naftifine",1.2037,"Fungal squalene epoxidase inhibitor"
"925","phenylmercuric-acetate",-1.1669,"Other antifungal"
"926","IKK-2-inhibitor-V",0.9352,"IKK inhibitor|NFkB pathway inhibitor"
"927","pazopanib",0.9646,"KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"928","bosentan",1.2037,"Endothelin receptor antagonist"
"929","SCH-900776",0.8771,"CHK inhibitor"
"930","carbachol",1.1331,"Cholinergic receptor agonist"
"931","alisertib",1.1911,"Aurora kinase inhibitor"
"932","KPT-276",-1.0037,"Exportin antagonist"
"933","tioguanine",0.8245,"Purine antagonist"
"934","SU-014813",-1.3974,"PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"935","pitavastatin",0.8587,"HMGCR inhibitor"
"936","guanidine",-0.6243,"HSP inhibitor"
"937","tyrphostin-AG-1296",-0.778,"FLT3 inhibitor"
"938","JIB04",1.1156,"Histone lysine demethylase inhibitor"
"939","ulipristal",1.2833,"Progesterone receptor antagonist"
"940","resiquimod",0.7465,"Toll-like receptor agonist"
"941","BMS-690514",1.5392,"EGFR inhibitor|VEGFR inhibitor"
"942","CCT-128930",0.8118,"AKT inhibitor"
"943","homoharringtonine",0.8472,"Protein synthesis inhibitor"
"944","YM-155",0.9646,"Survivin inhibitor"
"945","RS-17053",-1.0709,"Adrenergic receptor antagonist"
"946","CP-724714",0.7888,"Tyrosine kinase inhibitor|EGFR inhibitor"
"947","tryptanthrin",0.9856,"Cyclooxygenase inhibitor"
"948","WYE-354",1.4972,"MTOR inhibitor"
"949","gamma-aminobutyric-acid",-0.8836,"GABA receptor agonist"
"950","triamcinolone",0.8572,"Glucocorticoid receptor agonist"
"951","vandetanib",1.8957,"EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor"
"952","BRD-K77634909",1.303,"HSP inducer|Protein kinase inhibitor"
"953","CUDC-907",0.9598,"PI3K inhibitor"
"954","SB-200646",1.0834,"Serotonin receptor antagonist"
"955","dequalinium",0.9104,"PKC inhibitor"
"956","entinostat",1.3518,"HDAC inhibitor"
"957","NVP-BVU972",0.9017,"MET inhibitor"
"958","mebendazole",0.7384,"Tubulin inhibitor"
"959","LY-2090314",0.6081,"Glycogen synthase kinase inhibitor"
"960","oxiperomide",0.5368,"Dopamine receptor antagonist"
"961","menadione",-0.7346,"Mitochondrial DNA polymerase inhibitor|Phosphatase inhibitor"
"962","A-674563",-0.5091,"AKT inhibitor"
"963","PF-4981517",0.9032,"Cytochrome P450 inhibitor"
"964","crizotinib",0.822,"ALK tyrosine kinase receptor inhibitor"
"965","dolastatin-10",0.7843,"Tubulin inhibitor|Immunostimulant|Microtubule inhibitor|Tubulin polymerisation inhibitor"
"966","ixazomib",1.3211,"Proteasome inhibitor"
"967","pentagastrin",0.6898,"CCK receptor agonist"
"968","suxibuzone",0.8874,"Cyclooxygenase inhibitor"
"969","oxaliplatin",0.6479,"DNA inhibitor"
"970","albendazole",0.5935,"Tubulin inhibitor"
"971","nimorazole",-1.3206,"Bacterial DNA inhibitor"
"972","PF-573228",-0.7347,"Focal adhesion kinase inhibitor"
"973","decitabine",1.1953,"DNA methyltransferase inhibitor"
"974","NVP-BHG712",0.8594,"Ephrin inhibitor"
"975","inosine",-0.9412,"Neurotrophic agent"
"976","Ro-10-5824",-1.1669,"Dopamine receptor agonist"
"977","GW-583340",1.4637,"Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor"
"978","TAK-285",-0.6195,"EGFR inhibitor"
"979","triciribine",0.6962,"AKT inhibitor"
"980","repsox",1.5561,"TGF beta receptor inhibitor"
"981","erteberel",1.1114,"Estrogen receptor agonist"
"982","SGI-1776",1.4134,"Pim kinase inhibitor"
"983","RS-16566",0.9248,"Serotonin receptor antagonist"
"984","INC-280",0.8964,"C-Met inhibitor"
"985","cyclocytidine",1.0429,"DNA synthesis inhibitor|RNA synthesis inhibitor"
"986","azilsartan",0.8472,"Angiotensin receptor antagonist"
"987","NSC-632839",0.8399,"Ubiquitin specific protease inhibitor"
"988","SCH-58261",1.1467,"Adenosine receptor antagonist"
"989","triptolide",0.9687,"RNA polymerase inhibitor"
"990","tideglusib",1.363,"Glycogen synthase kinase inhibitor"
"991","maxacalcitol",0.628,"Vitamin D receptor agonist"
"992","vorinostat",0.8421,"HDAC inhibitor"
"993","CX-4945",-0.7107,"Casein kinase inhibitor"
"994","tanespimycin",0.8765,"HSP inhibitor"
"995","nilotinib",1.4099,"Abl kinase inhibitor|Bcr-Abl kinase inhibitor"
"996","AC-264613",1.4217,"PAR agonist"
"997","VTP-27999",0.9352,"Renin inhibitor"
"998","WZ-8040",1.8957,"EGFR inhibitor"
"999","PP-121",1.3798,"Receptor tyrosine protein kinase inhibitor"
"1000","triclabendazole",1.384,"Microtubule inhibitor"
"1001","SB-239063",1.3978,"P38 MAPK inhibitor"
"1002","amfenac",1.2875,"Cyclooxygenase inhibitor"
"1003","elesclomol",0.5913,"Oxidative stress inducer"
"1004","navitoclax",-1.2294,"BCL inhibitor"
"1005","batimastat",1.0695,"Matrix metalloprotease inhibitor"
"1006","PD-407824",0.671,"PKC inhibitor"
"1007","repaglinide",-0.734,"Insulin secretagogue"
"1008","navarixin",0.8975,"CC chemokine receptor antagonist"
"1009","daclatasvir",1.3126,"HCV inhibitor"
"1010","ACY-1215",-0.8404,"HDAC inhibitor"
"1011","doxercalciferol",0.9425,"Vitamin D receptor agonist"
"1012","doxifluridine",1.225,"Thymidylate synthase inhibitor"
"1013","chloropyramine",1.144,"Histamine receptor antagonist"
"1014","skepinone-l",1.2507,"P38 MAPK inhibitor"
"1015","NMS-1286937",-0.7732,"PLK inhibitor"
"1016","PTC-209",0.822,"BMI-1 inhibitor"
"1017","JNJ-26481585",0.9303,"HDAC inhibitor"
"1018","MLN-8054",0.864,"Mitotic inhibitor|Protein kinase inhibitor|Aurora kinase inhibitor"
"1019","alvespimycin",1.0695,"HSP inhibitor"
"1020","nizofenone",1.5468,"Ion channel antagonist"
"1021","candesartan",1.7531,"Angiotensin receptor antagonist"
"1022","ercalcitriol",1.5205,"Vitamin D receptor agonist"
"1023","telatinib",0.7656,"KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"1024","trequinsin",-0.874,"Phosphodiesterase inhibitor"
"1025","radezolid",0.7513,"Bacterial 30S ribosomal subunit inhibitor|Bacterial 50S ribosomal subunit inhibitor"
"1026","riociguat",-1.0901,"Guanylate cyclase stimulant"
"1027","almorexant",0.6249,"Orexin receptor antagonist"
"1028","sirolimus",0.7591,"MTOR inhibitor"
"1029","AZD-2461",0.9227,"PARP inhibitor"
"1030","aphidicolin",-0.5811,"RNA synthesis inhibitor"
"1031","foscarnet",0.8346,"DNA polymerase inhibitor"
"1032","novobiocin",1.7237,"Bacterial DNA gyrase inhibitor"
"1033","ramifenazone",-0.9316,"Cyclooxygenase inhibitor"
"1034","dovitinib",0.9394,"EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"1035","ivermectin",-1.0277,"GABA receptor agonist"
"1036","neratinib",1.1533,"EGFR inhibitor"
"1037","refametinib",-0.8068,"MEK inhibitor"
"1038","AZD-2858",0.99,"Glycogen synthase kinase inhibitor"
"1039","kynurenic-acid",-0.8116,"Glutamate receptor antagonist"
"1040","WAY-600",-0.826,"MTOR inhibitor"
"1041","flubendazole",0.6836,"Tubulin inhibitor"
"1042","linsitinib",1.2037,"IGF-1 inhibitor"
"1043","terconazole",1.4376,"Sterol demethylase inhibitor"
"1044","AZD-7762",1.1156,"CHK inhibitor"
"1045","R-306465",0.8392,"HDAC inhibitor"
"1046","embelin",1.2792,"HCV inhibitor|XIAP inhibitor"
"1047","SB-939",0.8479,"HDAC inhibitor"
"1048","PF-04457845",-1.2342,"FAAH inhibitor"
"1049","dofetilide",0.9688,"Potassium channel blocker"
"1050","cediranib",1.3756,"KIT inhibitor|VEGFR inhibitor"
"1051","oltipraz",1.019,"Nuclear factor erythroid derived, like (NRF2) activator"
"1052","phenelzine",1.0191,"Monoamine oxidase inhibitor"
"1053","epothilone-a",0.7339,"Microtubule stabilizing agent"
"1054","azodicarbonamide",0.6775,"DNA synthesis inhibitor"
"1055","OSI-027",-0.6867,"MTOR inhibitor"
"1056","norepinephrine",0.6207,"Adrenergic receptor agonist"
"1057","RS-504393",0.7646,"CC chemokine receptor antagonist"
"1058","taltobulin",0.828,"Tubulin inhibitor"
"1059","LY-456236",1.3254,"Glutamate receptor antagonist"
"1060","istradefylline",-0.9028,"Adenosine receptor antagonist"
"1061","AVL-292",1.6105,"Bruton's tyrosine kinase (BTK) inhibitor"
"1062","melphalan",0.8723,"DNA alkylating agent|DNA inhibitor"
"1063","alvocidib",0.6459,"CDK inhibitor"
"1064","piretanide",1.4509,"Glucocorticoid receptor agonist"
"1065","naltrexone",-1.2198,"Opioid receptor antagonist"
"1066","pyrimethamine",0.6988,"Dihydrofolate reductase inhibitor"
"1067","KD-025",0.8634,"Rho associated kinase inhibitor"
"1068","bortezomib",0.8822,"NFkB pathway inhibitor|Proteasome inhibitor"
"1069","nonoxynol-9",1.1922,"Membrane integrity inhibitor"
"1070","PD-198306",-0.7347,"MAP kinase inhibitor|MEK inhibitor"
"1071","AS-703026",1.1785,"MEK inhibitor"
"1072","GSK-923295",0.6105,"Centromere associated protein inhibitor"
"1073","VLX-600",1.0569,"USP14 inhibitor"
"1074","DCEBIO",0.8415,"Potassium channel activator"
"1075","SN-38",-1.0133,"Topoisomerase inhibitor"
"1076","vincamine",1.6985,"Adrenergic receptor antagonist"
"1077","tepoxalin",-0.6771,"Cyclooxygenase inhibitor|Lipoxygenase inhibitor"
"1078","raltitrexed",0.978,"Thymidylate synthase inhibitor"
"1079","spironolactone",1.0988,"Mineralocorticoid receptor antagonist"
"1080","chlorquinaldol",-0.5234,"Other antibiotic"
"1081","GW-843682X",0.719,"PLK inhibitor"
"1082","AR-12",1.1671,"Phosphoinositide dependent kinase inhibitor"
"1083","ipsapirone",1.4763,"Serotonin receptor agonist"
"1084","oleanolic-acid",1.2039,"G protein-coupled receptor agonist"
"1085","carboplatin",1.1575,"DNA alkylating drug|DNA inhibitor"
"1086","indiplon",0.8124,"Benzodiazepine receptor agonist|GABA receptor agonist"
"1087","anisomycin",1.0107,"DNA synthesis inhibitor"
"1088","mercaptopurine",0.6782,"Immunosuppressant|Protein synthesis inhibitor|Purine antagonist"
"1089","ABT-751",0.4733,"Tubulin inhibitor"
"1090","ZK-811752",0.9308,"CC chemokine receptor antagonist"
"1091","AM-251",-1.1189,"Cannabinoid receptor antagonist"
"1092","triamterene",-1.1237,"Sodium channel blocker"
"1093","doxorubicin",0.6291,"Topoisomerase inhibitor"
"1094","exatecan-mesylate",-0.898,"Topoisomerase inhibitor"
"1095","lomitapide",0.9379,"Microsomal trigylceride transfer protein inhibitor"
"1096","tosedostat",1.4469,"Peptidase inhibitor"
"1097","mycophenolate-mofetil",-0.7155,"Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Inositol monophosphatase inhibitor"
"1098","GSK-461364",0.7603,"PLK inhibitor"
"1099","bexarotene",1.3546,"Retinoid receptor agonist"
"1100","alfacalcidol",0.6727,"Vitamin D receptor agonist"
"1101","zaleplon",-0.7876,"Benzodiazepine receptor agonist"
"1102","imatinib",1.2708,"Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor"
"1103","PAC-1",1.0379,"Caspase activator"
"1104","cladribine",0.9772,"Adenosine deaminase inhibitor|Ribonucleoside reductase inhibitor"
"1105","RAF-265",-1.3158,"RAF inhibitor|VEGFR inhibitor"
"1106","diphemanil",0.9745,"Acetylcholine receptor antagonist"
"1107","tamoxifen",0.5479,"Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)"
"1108","ingenol-mebutate",1.0191,"PKC activator"
"1109","taltirelin",1.0988,"Thyrotropin releasing hormone receptor agonist"
"1110","quizartinib",1.0086,"FLT3 inhibitor"
"1111","TWS-119",1.6398,"Glycogen synthase kinase inhibitor"
"1112","deflazacort",0.8631,"Glucocorticoid receptor agonist"
"1113","ribavirin",0.5894,"Antiviral"
"1114","PF-04136309",0.8387,"CC chemokine receptor antagonist"
"1115","mevastatin",0.7666,"HMGCR inhibitor"
"1116","ICG-001",-1.0085,"Beta-catenin inhibitor"
"1117","LDN-57444",0.7173,"Ubiquitin C-terminal hydrolase inhibitor"
"1118","telotristat",0.749,"Serotonin receptor antagonist|Serotonin release inhibitor"
"1119","chromocarb",-1.0325,"Antispasmodic"
"1120","talazoparib",0.9432,"PARP inhibitor"
"1121","SB-657510",0.9588,"Urotensin receptor antagonist"
"1122","PHA-665752",-0.7443,"C-Met inhibitor"
"1123","OLDA",0.9112,"TRPV agonist"
"1124","PFK-015",-0.8116,"Phosphofructokinase inhibitor"
"1125","RN-1734",1.2917,"TRPV antagonist"
"1126","trapidil",0.8196,"PDGFR tyrosine kinase receptor inhibitor"
"1127","darifenacin",0.7843,"Acetylcholine receptor antagonist"
"1128","thiamine",0.5578,"Vitamin B"
"1129","PP-2",1.3869,"Src inhibitor"
"1130","SRT-1720",0.5295,"SIRT activator"
"1131","azalomycin-b",1.2457,"Bacterial 50S ribosomal subunit inhibitor"
"1132","brequinar",0.5663,"Dihydroorotate dehydrogenase inhibitor"
"1133","cidofovir",-1.2342,"DNA polymerase inhibitor"
"1134","adefovir-dipivoxil",0.7332,"DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor|RNA directed DNA polymerase inhibitor|DNA polymerase inhibitor"
"1135","caffeic-acid-phenethyl-ester",-0.7636,"NFkB pathway inhibitor|HIV integrase inhibitor"
"1136","metaraminol",0.9312,"Adrenergic receptor agonist"
"1137","Y-320",-0.8788,"Interleukin inhibitor"
"1138","harringtonine",1.1995,"Protein synthesis inhibitor"
"1139","chloramphenicol-palmitate",1.2849,"Protein synthesis inhibitor"
"1140","10-deacetylbaccatin",1.4008,"Antitumor agent"
"1141","deferasirox",1.1718,"Chelating agent"
"1142","PI-828",-1.7144,"PI3K inhibitor"
"1143","dihydroergocristine",-1.0997,"Adrenergic receptor antagonist|Prolactin inhibitor"
"1144","diaveridine",0.6275,"Dihydrofolate reductase inhibitor"
"1145","gestrinone",-0.8068,"Progesterone receptor antagonist"
"1146","P-22077",1.2811,"Ubiquitin specific protease inhibitor"
"1147","chlorpropamide",1.4385,"ATP channel blocker"
"1148","nicorandil",0.9394,"Nitric oxide donor|Potassium channel activator"
"1149","PD-173074",1.0065,"FGFR inhibitor|VEGFR inhibitor"
"1150","theophylline",0.8093,"Adenosine receptor antagonist"
"1151","BMS-626529",-0.5907,"HIV attachment inhibitor"
"1152","GSK-J4",1.0443,"Histone lysine demethylase inhibitor"
"1153","finafloxacin",0.8304,"Bacterial DNA gyrase inhibitor"
"1154","desoxycortone",1.1575,"Mineralocorticoid receptor agonist"
"1155","parthenolide",1.2273,"NFkB pathway inhibitor"
"1156","AZD-8931",1.7489,"EGFR inhibitor"
"1157","SB-2343",0.8765,"MTOR inhibitor|PI3K inhibitor"
"1158","AZD-5363",0.9982,"AKT inhibitor"
"1159","AZD-2014",-0.4658,"MTOR inhibitor"
"1160","NSC-319726",-0.8452,"P53 activator"
"1161","ftorafur",-1.2198,"Thymidylate synthase inhibitor"
"1162","baicalin",0.8159,"Beta glucuronidase inhibitor"
"1163","genz-644282",0.7095,"Topoisomerase inhibitor"
"1164","plinabulin",1.0778,"Tubulin inhibitor"
"1165","PF-562271",-0.802,"Focal adhesion kinase inhibitor"
"1166","cephalomannine",1.0065,"DNA polymerase inhibitor"
"1167","tanaproget",-0.5282,"Progesterone receptor agonist"
"1168","linifanib",0.7523,"PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"1169","hexachlorophene",0.7885,"Potassium channel activator"
"1170","hexylresorcinol",-0.8452,"Local anesthetic"
"1171","bosutinib",1.5055,"Abl kinase inhibitor|Bcr-Abl kinase inhibitor|Src inhibitor"
"1172","nemonapride",1.1953,"Dopamine receptor antagonist"
"1173","levcromakalim",-1.3542,"Potassium channel activator"
"1174","dichloroacetate",1.1282,"Pyruvate dehydrogenase kinase inhibitor"
