pert_iname,query,moa
riociguat,0.7946,Guanylate cyclase stimulant
almorexant,1.0187,Orexin receptor antagonist
sirolimus,1.1935,MTOR inhibitor
AZD-2461,1.1057,PARP inhibitor
aphidicolin,0.9186,RNA synthesis inhibitor
foscarnet,1.3855,DNA polymerase inhibitor
novobiocin,1.1781,Bacterial DNA gyrase inhibitor
ramifenazone,0.6253,Cyclooxygenase inhibitor
dovitinib,1.1354,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
ivermectin,1.0557,GABA receptor agonist
neratinib,0.9339,EGFR inhibitor
refametinib,1.2795,MEK inhibitor
AZD-2858,0.7956,Glycogen synthase kinase inhibitor
kynurenic-acid,0.764,Glutamate receptor antagonist
WAY-600,0.993,MTOR inhibitor
flubendazole,0.9245,Tubulin inhibitor
linsitinib,0.8531,IGF-1 inhibitor
terconazole,1.1812,Sterol demethylase inhibitor
AZD-7762,0.4216,CHK inhibitor
R-306465,0.7524,HDAC inhibitor
embelin,1.1861,HCV inhibitor|XIAP inhibitor
SB-939,0.8004,HDAC inhibitor
PF-04457845,0.6174,FAAH inhibitor
dofetilide,1.3126,Potassium channel blocker
cediranib,1.3812,KIT inhibitor|VEGFR inhibitor
oltipraz,0.73,"Nuclear factor erythroid derived, like (NRF2) activator"
phenelzine,1.1528,Monoamine oxidase inhibitor
epothilone-a,1.2026,Microtubule stabilizing agent
azodicarbonamide,1.5308,DNA synthesis inhibitor
OSI-027,1.1816,MTOR inhibitor
norepinephrine,1.1033,Adrenergic receptor agonist
RS-504393,1.4152,CC chemokine receptor antagonist
taltobulin,1.187,Tubulin inhibitor
LY-456236,1.4746,Glutamate receptor antagonist
istradefylline,0.7468,Adenosine receptor antagonist
AVL-292,1.0985,Bruton's tyrosine kinase (BTK) inhibitor
melphalan,1.3466,DNA alkylating agent|DNA inhibitor
alvocidib,0.4905,CDK inhibitor
piretanide,0.8971,Glucocorticoid receptor agonist
naltrexone,1.2837,Opioid receptor antagonist
pyrimethamine,0.7851,Dihydrofolate reductase inhibitor
KD-025,1.0047,Rho associated kinase inhibitor
bortezomib,1.06,NFkB pathway inhibitor|Proteasome inhibitor
nonoxynol-9,1.1129,Membrane integrity inhibitor
PD-198306,1.0037,MAP kinase inhibitor|MEK inhibitor
AS-703026,0.9711,MEK inhibitor
GSK-923295,1.235,Centromere associated protein inhibitor
VLX-600,0.7688,USP14 inhibitor
DCEBIO,0.8686,Potassium channel activator
SN-38,0.7947,Topoisomerase inhibitor
vincamine,0.9217,Adrenergic receptor antagonist
tepoxalin,0.861,Cyclooxygenase inhibitor|Lipoxygenase inhibitor
raltitrexed,0.6692,Thymidylate synthase inhibitor
spironolactone,0.8427,Mineralocorticoid receptor antagonist
chlorquinaldol,0.9505,Other antibiotic
GW-843682X,0.8634,PLK inhibitor
AR-12,1.1191,Phosphoinositide dependent kinase inhibitor
ipsapirone,0.9303,Serotonin receptor agonist
oleanolic-acid,1.0052,G protein-coupled receptor agonist
carboplatin,1.2696,DNA alkylating drug|DNA inhibitor
indiplon,1.0588,Benzodiazepine receptor agonist|GABA receptor agonist
anisomycin,0.9174,DNA synthesis inhibitor
mercaptopurine,1.7094,Immunosuppressant|Protein synthesis inhibitor|Purine antagonist
ABT-751,0.9515,Tubulin inhibitor
ZK-811752,0.5691,CC chemokine receptor antagonist
AM-251,-0.9118,Cannabinoid receptor antagonist
triamterene,0.4154,Sodium channel blocker
doxorubicin,1.3598,Topoisomerase inhibitor
exatecan-mesylate,0.7956,Topoisomerase inhibitor
lomitapide,1.4899,Microsomal trigylceride transfer protein inhibitor
tosedostat,1.0116,Peptidase inhibitor
mycophenolate-mofetil,0.7119,Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
GSK-461364,1.1351,PLK inhibitor
bexarotene,1.3407,Retinoid receptor agonist
alfacalcidol,0.9595,Vitamin D receptor agonist
zaleplon,1.1553,Benzodiazepine receptor agonist
imatinib,1.2109,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
PAC-1,0.6192,Caspase activator
cladribine,0.6932,Adenosine deaminase inhibitor|Ribonucleoside reductase inhibitor
RAF-265,0.895,RAF inhibitor|VEGFR inhibitor
diphemanil,0.8032,Acetylcholine receptor antagonist
tamoxifen,1.0412,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
ingenol-mebutate,0.9919,PKC activator
taltirelin,1.1247,Thyrotropin releasing hormone receptor agonist
quizartinib,1.2628,FLT3 inhibitor
TWS-119,1.3684,Glycogen synthase kinase inhibitor
deflazacort,1.0085,Glucocorticoid receptor agonist
ribavirin,1.4551,Antiviral
PF-04136309,0.7435,CC chemokine receptor antagonist
mevastatin,2.1105,HMGCR inhibitor
ICG-001,1.1445,Beta-catenin inhibitor
LDN-57444,0.8165,Ubiquitin C-terminal hydrolase inhibitor
telotristat,-0.7272,Serotonin receptor antagonist|Serotonin release inhibitor
chromocarb,1.1667,Antispasmodic
talazoparib,1.1593,PARP inhibitor
SB-657510,0.74,Urotensin receptor antagonist
PHA-665752,0.7133,C-Met inhibitor
OLDA,0.8558,TRPV agonist
PFK-015,0.6967,Phosphofructokinase inhibitor
RN-1734,1.0382,TRPV antagonist
trapidil,0.8275,PDGFR tyrosine kinase receptor inhibitor
darifenacin,0.9887,Acetylcholine receptor antagonist
thiamine,0.2892,Vitamin B
PP-2,1.1464,Src inhibitor
SRT-1720,0.8915,SIRT activator
azalomycin-b,0.9183,Bacterial 50S ribosomal subunit inhibitor
brequinar,1.0323,Dihydroorotate dehydrogenase inhibitor
cidofovir,-0.9375,DNA polymerase inhibitor
adefovir-dipivoxil,0.93,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor|RNA directed DNA polymerase inhibitor|DNA polymerase inhibitor
caffeic-acid-phenethyl-ester,1.312,NFkB pathway inhibitor|HIV integrase inhibitor
metaraminol,0.6461,Adrenergic receptor agonist
Y-320,0.9421,Interleukin inhibitor
harringtonine,0.9843,Protein synthesis inhibitor
chloramphenicol-palmitate,0.9064,Protein synthesis inhibitor
10-deacetylbaccatin,1.3665,Antitumor agent
deferasirox,1.2621,Chelating agent
PI-828,1.0752,PI3K inhibitor
dihydroergocristine,-1.0657,Adrenergic receptor antagonist|Prolactin inhibitor
diaveridine,1.276,Dihydrofolate reductase inhibitor
gestrinone,0.8403,Progesterone receptor antagonist
P-22077,0.4752,Ubiquitin specific protease inhibitor
chlorpropamide,1.2695,ATP channel blocker
nicorandil,1.0375,Nitric oxide donor|Potassium channel activator
PD-173074,0.7382,FGFR inhibitor|VEGFR inhibitor
theophylline,1.0894,Adenosine receptor antagonist
BMS-626529,-0.9381,HIV attachment inhibitor
GSK-J4,0.9066,Histone lysine demethylase inhibitor
finafloxacin,1.1845,Bacterial DNA gyrase inhibitor
desoxycortone,0.8574,Mineralocorticoid receptor agonist
parthenolide,0.7457,NFkB pathway inhibitor
AZD-8931,0.921,EGFR inhibitor
SB-2343,1.0542,MTOR inhibitor|PI3K inhibitor
AZD-5363,1.1297,AKT inhibitor
AZD-2014,0.8634,MTOR inhibitor
NSC-319726,0.8908,P53 activator
ftorafur,0.9447,Thymidylate synthase inhibitor
baicalin,0.696,Beta glucuronidase inhibitor
genz-644282,0.3762,Topoisomerase inhibitor
plinabulin,0.9188,Tubulin inhibitor
PF-562271,1.0082,Focal adhesion kinase inhibitor
cephalomannine,1.1934,DNA polymerase inhibitor
tanaproget,0.9968,Progesterone receptor agonist
linifanib,1.0538,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
hexachlorophene,0.7528,Potassium channel activator
hexylresorcinol,1.122,Local anesthetic
bosutinib,1.1528,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|Src inhibitor
nemonapride,1.6934,Dopamine receptor antagonist
levcromakalim,1.0621,Potassium channel activator
dichloroacetate,0.5887,Pyruvate dehydrogenase kinase inhibitor
