pert_iname,query,moa
candesartan,1.7531,Angiotensin receptor antagonist
ercalcitriol,1.5205,Vitamin D receptor agonist
telatinib,0.7656,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
trequinsin,-0.874,Phosphodiesterase inhibitor
radezolid,0.7513,Bacterial 30S ribosomal subunit inhibitor|Bacterial 50S ribosomal subunit inhibitor
riociguat,-1.0901,Guanylate cyclase stimulant
almorexant,0.6249,Orexin receptor antagonist
sirolimus,0.7591,MTOR inhibitor
AZD-2461,0.9227,PARP inhibitor
aphidicolin,-0.5811,RNA synthesis inhibitor
foscarnet,0.8346,DNA polymerase inhibitor
novobiocin,1.7237,Bacterial DNA gyrase inhibitor
ramifenazone,-0.9316,Cyclooxygenase inhibitor
dovitinib,0.9394,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
ivermectin,-1.0277,GABA receptor agonist
neratinib,1.1533,EGFR inhibitor
refametinib,-0.8068,MEK inhibitor
AZD-2858,0.99,Glycogen synthase kinase inhibitor
kynurenic-acid,-0.8116,Glutamate receptor antagonist
WAY-600,-0.826,MTOR inhibitor
flubendazole,0.6836,Tubulin inhibitor
linsitinib,1.2037,IGF-1 inhibitor
terconazole,1.4376,Sterol demethylase inhibitor
AZD-7762,1.1156,CHK inhibitor
R-306465,0.8392,HDAC inhibitor
embelin,1.2792,HCV inhibitor|XIAP inhibitor
SB-939,0.8479,HDAC inhibitor
PF-04457845,-1.2342,FAAH inhibitor
dofetilide,0.9688,Potassium channel blocker
cediranib,1.3756,KIT inhibitor|VEGFR inhibitor
oltipraz,1.019,"Nuclear factor erythroid derived, like (NRF2) activator"
phenelzine,1.0191,Monoamine oxidase inhibitor
epothilone-a,0.7339,Microtubule stabilizing agent
azodicarbonamide,0.6775,DNA synthesis inhibitor
OSI-027,-0.6867,MTOR inhibitor
norepinephrine,0.6207,Adrenergic receptor agonist
RS-504393,0.7646,CC chemokine receptor antagonist
taltobulin,0.828,Tubulin inhibitor
LY-456236,1.3254,Glutamate receptor antagonist
istradefylline,-0.9028,Adenosine receptor antagonist
AVL-292,1.6105,Bruton's tyrosine kinase (BTK) inhibitor
melphalan,0.8723,DNA alkylating agent|DNA inhibitor
alvocidib,0.6459,CDK inhibitor
piretanide,1.4509,Glucocorticoid receptor agonist
naltrexone,-1.2198,Opioid receptor antagonist
pyrimethamine,0.6988,Dihydrofolate reductase inhibitor
KD-025,0.8634,Rho associated kinase inhibitor
bortezomib,0.8822,NFkB pathway inhibitor|Proteasome inhibitor
nonoxynol-9,1.1922,Membrane integrity inhibitor
PD-198306,-0.7347,MAP kinase inhibitor|MEK inhibitor
AS-703026,1.1785,MEK inhibitor
GSK-923295,0.6105,Centromere associated protein inhibitor
VLX-600,1.0569,USP14 inhibitor
DCEBIO,0.8415,Potassium channel activator
SN-38,-1.0133,Topoisomerase inhibitor
vincamine,1.6985,Adrenergic receptor antagonist
tepoxalin,-0.6771,Cyclooxygenase inhibitor|Lipoxygenase inhibitor
raltitrexed,0.978,Thymidylate synthase inhibitor
spironolactone,1.0988,Mineralocorticoid receptor antagonist
chlorquinaldol,-0.5234,Other antibiotic
GW-843682X,0.719,PLK inhibitor
AR-12,1.1671,Phosphoinositide dependent kinase inhibitor
ipsapirone,1.4763,Serotonin receptor agonist
oleanolic-acid,1.2039,G protein-coupled receptor agonist
carboplatin,1.1575,DNA alkylating drug|DNA inhibitor
indiplon,0.8124,Benzodiazepine receptor agonist|GABA receptor agonist
anisomycin,1.0107,DNA synthesis inhibitor
mercaptopurine,0.6782,Immunosuppressant|Protein synthesis inhibitor|Purine antagonist
ABT-751,0.4733,Tubulin inhibitor
ZK-811752,0.9308,CC chemokine receptor antagonist
AM-251,-1.1189,Cannabinoid receptor antagonist
triamterene,-1.1237,Sodium channel blocker
doxorubicin,0.6291,Topoisomerase inhibitor
exatecan-mesylate,-0.898,Topoisomerase inhibitor
lomitapide,0.9379,Microsomal trigylceride transfer protein inhibitor
tosedostat,1.4469,Peptidase inhibitor
mycophenolate-mofetil,-0.7155,Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
GSK-461364,0.7603,PLK inhibitor
bexarotene,1.3546,Retinoid receptor agonist
alfacalcidol,0.6727,Vitamin D receptor agonist
zaleplon,-0.7876,Benzodiazepine receptor agonist
imatinib,1.2708,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
PAC-1,1.0379,Caspase activator
cladribine,0.9772,Adenosine deaminase inhibitor|Ribonucleoside reductase inhibitor
RAF-265,-1.3158,RAF inhibitor|VEGFR inhibitor
diphemanil,0.9745,Acetylcholine receptor antagonist
tamoxifen,0.5479,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
ingenol-mebutate,1.0191,PKC activator
taltirelin,1.0988,Thyrotropin releasing hormone receptor agonist
quizartinib,1.0086,FLT3 inhibitor
TWS-119,1.6398,Glycogen synthase kinase inhibitor
deflazacort,0.8631,Glucocorticoid receptor agonist
ribavirin,0.5894,Antiviral
PF-04136309,0.8387,CC chemokine receptor antagonist
mevastatin,0.7666,HMGCR inhibitor
ICG-001,-1.0085,Beta-catenin inhibitor
LDN-57444,0.7173,Ubiquitin C-terminal hydrolase inhibitor
telotristat,0.749,Serotonin receptor antagonist|Serotonin release inhibitor
chromocarb,-1.0325,Antispasmodic
talazoparib,0.9432,PARP inhibitor
SB-657510,0.9588,Urotensin receptor antagonist
PHA-665752,-0.7443,C-Met inhibitor
OLDA,0.9112,TRPV agonist
PFK-015,-0.8116,Phosphofructokinase inhibitor
RN-1734,1.2917,TRPV antagonist
trapidil,0.8196,PDGFR tyrosine kinase receptor inhibitor
darifenacin,0.7843,Acetylcholine receptor antagonist
thiamine,0.5578,Vitamin B
PP-2,1.3869,Src inhibitor
SRT-1720,0.5295,SIRT activator
azalomycin-b,1.2457,Bacterial 50S ribosomal subunit inhibitor
brequinar,0.5663,Dihydroorotate dehydrogenase inhibitor
cidofovir,-1.2342,DNA polymerase inhibitor
adefovir-dipivoxil,0.7332,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor|RNA directed DNA polymerase inhibitor|DNA polymerase inhibitor
caffeic-acid-phenethyl-ester,-0.7636,NFkB pathway inhibitor|HIV integrase inhibitor
metaraminol,0.9312,Adrenergic receptor agonist
Y-320,-0.8788,Interleukin inhibitor
harringtonine,1.1995,Protein synthesis inhibitor
chloramphenicol-palmitate,1.2849,Protein synthesis inhibitor
10-deacetylbaccatin,1.4008,Antitumor agent
deferasirox,1.1718,Chelating agent
PI-828,-1.7144,PI3K inhibitor
dihydroergocristine,-1.0997,Adrenergic receptor antagonist|Prolactin inhibitor
diaveridine,0.6275,Dihydrofolate reductase inhibitor
gestrinone,-0.8068,Progesterone receptor antagonist
P-22077,1.2811,Ubiquitin specific protease inhibitor
chlorpropamide,1.4385,ATP channel blocker
nicorandil,0.9394,Nitric oxide donor|Potassium channel activator
PD-173074,1.0065,FGFR inhibitor|VEGFR inhibitor
theophylline,0.8093,Adenosine receptor antagonist
BMS-626529,-0.5907,HIV attachment inhibitor
GSK-J4,1.0443,Histone lysine demethylase inhibitor
finafloxacin,0.8304,Bacterial DNA gyrase inhibitor
desoxycortone,1.1575,Mineralocorticoid receptor agonist
parthenolide,1.2273,NFkB pathway inhibitor
AZD-8931,1.7489,EGFR inhibitor
SB-2343,0.8765,MTOR inhibitor|PI3K inhibitor
AZD-5363,0.9982,AKT inhibitor
AZD-2014,-0.4658,MTOR inhibitor
NSC-319726,-0.8452,P53 activator
ftorafur,-1.2198,Thymidylate synthase inhibitor
baicalin,0.8159,Beta glucuronidase inhibitor
genz-644282,0.7095,Topoisomerase inhibitor
plinabulin,1.0778,Tubulin inhibitor
PF-562271,-0.802,Focal adhesion kinase inhibitor
cephalomannine,1.0065,DNA polymerase inhibitor
tanaproget,-0.5282,Progesterone receptor agonist
linifanib,0.7523,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
hexachlorophene,0.7885,Potassium channel activator
hexylresorcinol,-0.8452,Local anesthetic
bosutinib,1.5055,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|Src inhibitor
nemonapride,1.1953,Dopamine receptor antagonist
levcromakalim,-1.3542,Potassium channel activator
dichloroacetate,1.1282,Pyruvate dehydrogenase kinase inhibitor
